20	190
3	5	13
3	4	31
15	20	29
2	17	14
13	16	25
17	18	23
14	17	10
5	11	11
3	10	40
15	16	18
2	16	5
3	14	24
16	20	23
1	7	39
11	15	7
13	17	30
1	5	32
11	20	24
9	19	33
13	18	15
12	16	31
10	19	2
7	10	29
1	12	13
1	14	21
4	15	1
4	8	28
12	15	11
9	18	17
1	20	17
10	15	38
9	11	35
5	10	18
18	20	22
16	17	29
2	20	6
5	8	6
7	14	21
6	20	10
5	14	31
3	6	6
15	19	25
2	14	7
1	3	9
4	9	7
4	17	39
6	9	3
1	18	20
9	15	2
8	10	9
5	18	1
1	9	36
6	7	5
11	19	7
14	18	33
3	7	18
6	12	9
8	18	26
14	19	13
11	12	9
9	17	18
2	9	7
12	18	5
12	17	33
6	16	2
4	20	26
4	19	12
16	19	40
11	18	38
7	13	40
11	13	33
2	6	20
3	15	31
10	18	36
6	15	23
2	15	35
3	17	34
5	20	11
12	19	38
1	6	11
12	14	8
1	13	16
4	14	16
14	20	10
18	19	39
6	11	9
5	19	20
4	11	39
8	17	16
5	17	32
1	16	30
5	7	23
3	16	31
6	18	11
1	19	4
17	20	10
5	9	21
3	11	28
6	19	11
2	18	19
8	9	9
5	16	9
4	7	24
7	12	19
6	13	3
1	10	5
1	2	40
5	6	14
1	15	24
19	20	29
8	15	8
9	14	28
15	18	9
8	16	4
7	11	38
3	9	2
9	20	4
2	19	16
12	20	22
14	15	23
9	10	1
10	16	35
3	12	5
7	18	39
11	17	6
13	20	11
3	8	34
13	14	35
9	16	28
3	20	2
5	15	24
7	20	7
10	17	32
6	10	31
8	13	14
7	19	19
8	19	19
8	20	11
3	18	7
11	16	18
8	11	10
3	13	36
4	12	26
15	17	30
16	18	22
12	13	29
4	16	35
2	8	18
8	14	4
13	15	5
2	11	8
2	13	39
2	5	31
2	3	28
9	12	36
7	9	32
8	12	34
7	8	33
9	13	40
10	14	38
7	17	38
3	19	22
4	6	29
11	14	20
1	4	26
10	11	34
13	19	27
2	4	20
5	12	21
1	11	38
4	18	22
2	7	8
10	13	30
10	12	1
1	8	27
4	10	2
6	8	13
6	17	12
14	16	7
10	20	20
6	14	8
4	13	6
2	10	9
17	19	25
7	16	15
4	5	17
5	13	19
7	15	34
1	17	32
2	12	20
