100	4950
95	96	53
12	13	23
37	85	189
58	91	47
37	65	46
2	96	164
27	73	131
46	60	64
34	39	179
14	43	145
86	90	132
23	61	101
35	62	199
36	51	105
47	60	110
59	83	10
41	43	35
15	37	125
17	85	91
11	28	141
11	56	179
30	43	188
44	60	193
4	100	180
57	69	118
27	52	157
57	60	139
72	99	106
72	81	114
45	78	143
49	65	190
32	63	118
9	34	86
7	23	98
23	65	30
8	30	115
16	27	54
94	96	180
43	52	118
65	71	25
79	89	114
6	35	133
57	74	99
81	83	99
1	20	135
2	55	115
32	98	10
7	50	199
7	16	197
88	98	102
29	37	54
20	49	57
11	58	143
49	93	37
63	88	67
56	84	152
44	69	142
16	77	31
1	92	141
10	23	159
12	71	7
93	100	35
23	42	194
63	83	118
45	95	168
73	85	97
23	46	107
5	83	7
9	59	63
18	100	126
43	62	159
46	94	105
78	92	163
21	34	116
45	87	24
50	77	24
73	93	16
35	75	56
48	83	124
34	76	194
67	86	48
56	79	82
49	87	126
7	80	92
34	87	141
21	40	153
37	92	10
93	98	75
63	79	176
61	79	188
13	44	133
3	14	44
15	32	133
78	87	34
17	19	18
43	86	165
43	79	124
11	55	27
27	40	78
56	96	25
20	75	17
61	87	156
53	59	133
7	28	80
27	57	93
51	86	151
2	60	146
43	78	60
3	86	35
22	89	24
60	89	148
40	60	189
25	50	68
2	29	2
2	40	91
93	99	142
4	84	44
55	71	112
52	86	31
25	37	118
64	100	42
8	13	76
31	81	41
52	84	200
49	97	12
8	32	60
58	96	184
78	96	76
61	72	24
11	36	16
20	89	22
9	77	27
6	69	148
77	98	69
76	92	40
83	86	46
40	82	192
51	62	109
68	70	122
6	66	176
68	97	199
46	80	68
50	91	192
34	93	24
45	46	89
10	82	13
34	72	86
51	52	88
42	63	140
44	76	107
21	96	121
26	64	136
17	28	190
82	86	160
55	79	83
48	66	188
75	87	76
67	73	17
8	45	163
4	86	81
70	85	62
79	90	8
35	73	163
34	98	116
34	66	169
13	33	113
24	54	65
36	98	148
56	61	28
24	76	46
12	88	54
27	45	155
14	56	68
41	49	147
85	97	18
11	84	153
60	66	160
11	43	51
6	9	94
16	18	193
23	35	101
66	81	145
16	84	88
15	48	129
17	38	11
13	80	119
1	97	122
2	37	150
28	88	110
66	68	162
47	76	140
50	85	62
71	72	142
29	55	196
31	45	13
91	96	149
22	54	143
28	70	57
21	95	38
68	87	81
3	81	154
11	73	2
26	37	136
7	92	165
26	29	50
38	78	142
5	65	73
14	46	154
46	100	112
20	80	100
2	53	51
69	100	137
31	90	48
34	43	82
49	71	156
16	19	154
31	58	49
17	89	153
7	11	39
50	95	80
23	84	113
26	80	30
1	82	153
28	98	155
22	85	54
37	74	91
22	27	197
29	48	28
25	64	14
47	88	84
18	72	177
2	88	189
40	90	105
87	95	34
39	80	103
36	96	191
26	67	138
25	56	147
32	94	149
82	96	81
50	69	161
34	95	96
1	86	141
53	78	16
38	68	51
29	58	30
15	74	166
39	83	178
11	94	1
79	81	142
63	92	96
16	30	185
22	34	37
10	100	109
5	100	156
11	26	70
25	66	40
2	69	85
27	38	26
5	19	11
12	45	47
31	50	26
5	95	113
45	50	32
36	43	1
41	65	181
3	98	179
28	37	168
42	54	138
38	89	108
10	44	94
52	55	177
44	50	139
12	84	192
26	90	165
25	43	79
4	32	200
5	72	78
26	39	108
50	94	153
3	52	41
60	91	119
25	52	143
57	65	194
32	79	114
16	68	104
35	52	84
13	67	177
35	81	155
60	74	58
73	90	92
2	6	170
45	98	88
60	87	99
14	74	199
18	46	91
79	84	10
54	95	99
39	94	37
1	74	144
67	78	180
4	64	56
18	44	37
2	91	31
58	84	159
8	39	123
8	43	42
67	70	188
34	68	199
5	15	169
35	50	192
47	67	119
12	43	67
24	47	131
25	46	76
85	86	113
27	79	97
25	58	133
36	92	193
32	87	123
74	77	39
48	67	35
21	51	140
9	27	159
28	52	99
17	81	39
48	61	129
32	82	93
62	77	53
5	22	61
51	93	132
52	96	55
36	57	104
14	17	136
65	73	121
16	47	85
1	26	188
43	84	73
89	98	108
51	61	57
22	60	134
57	59	95
15	51	42
5	73	92
27	97	86
82	100	74
92	100	141
36	39	104
23	24	17
50	63	102
50	59	52
28	85	172
5	44	149
50	54	127
43	44	161
60	61	116
30	58	128
5	61	127
1	67	57
41	91	182
39	69	65
28	91	89
26	45	136
8	12	85
34	50	100
70	99	42
9	79	42
42	50	162
35	98	74
56	81	147
35	84	11
9	13	150
16	29	47
6	53	128
69	86	64
75	79	177
71	94	163
18	61	164
56	99	172
4	83	142
91	97	26
3	83	67
10	20	148
1	22	77
4	13	60
32	56	126
23	58	99
95	100	64
21	37	37
75	98	130
12	76	14
35	72	118
30	70	166
21	25	25
79	92	137
44	87	171
14	55	114
55	67	56
8	57	81
79	91	102
21	75	82
87	97	159
38	70	24
41	93	145
34	91	89
10	74	197
11	13	52
15	42	61
22	26	105
33	84	33
12	33	80
35	82	20
4	15	124
24	93	194
23	31	17
24	70	101
23	28	60
73	78	112
51	53	114
34	52	139
1	53	172
32	60	32
28	34	17
14	44	150
5	64	156
64	94	188
33	68	176
50	65	160
41	95	1
27	65	137
68	77	196
2	72	129
29	80	58
28	50	15
2	85	194
32	40	108
